,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2024",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Oct.
7,Uncooked other beef and veal(4)(5),0.052,331.187,336.537,332.734,333.810,334.363,338.186,343.365,339.800,350.075,350.257,353.790,354.795,350.916,331.187,336.537,332.734,333.810,334.363,338.186,343.365,339.800,350.075,350.257,353.790,354.795,350.916,6.0,1.0,0.3,-1.1,1.0,0.3,-1.1,-0.001,0.84,S-Dec. 2023,-1.1,0.003,1.35,S-Jan. 2024,5.0
6,Pork,0.332,273.580,265.863,262.096,261.308,259.794,262.888,263.377,267.029,268.013,270.109,270.233,273.010,271.851,268.334,265.438,265.940,265.242,263.128,266.000,265.884,268.408,267.129,266.638,266.802,268.106,266.638,-0.6,0.0,1.0,-0.4,0.1,0.5,-0.5,-0.002,0.61,S-Jun. 2024,-0.5,-0.002,0.93,S-Feb. 2024,-1.6
7,"Bacon, breakfast sausage, and related products(5)",0.143,206.245,199.762,197.316,196.563,195.282,196.575,199.417,201.472,201.106,202.553,200.067,204.238,203.272,201.805,199.020,198.896,197.678,198.715,199.433,201.043,202.385,201.988,200.869,198.039,200.438,198.896,-1.4,-1.2,2.1,-0.5,-1.4,1.2,-0.8,-0.001,0.89,S-Aug. 2024,-1.4,-0.002,1.31,S-Sep. 2023,-2.5
8,Bacon and related products(6),,391.980,378.703,373.123,365.105,363.136,366.302,368.393,374.039,373.309,376.574,370.529,381.226,378.349,380.153,370.994,372.966,367.990,371.376,374.688,371.956,378.268,378.310,374.042,367.548,373.586,366.934,-3.5,-1.6,2.9,-0.8,-1.7,1.6,-1.8,,1.16,S-Nov. 2023,-2.4,,1.77,S-Aug. 2023,-6.4
8,Breakfast sausage and related products(5)(6),,184.488,179.105,178.159,181.914,180.886,181.393,186.665,187.438,186.158,187.816,186.010,188.743,188.249,182.974,183.189,181.358,181.649,182.614,181.457,187.635,186.905,184.660,184.680,183.961,187.621,186.705,2.0,-1.0,1.5,-0.3,-0.4,2.0,-0.5,,1.10,S-Jun. 2024,-1.2,,1.74,S-Aug. 2024,0.4
7,Ham,0.063,258.640,247.732,241.709,240.486,245.713,243.040,239.999,243.775,246.658,253.745,252.732,251.473,253.389,251.277,249.989,253.590,245.775,248.718,242.067,246.489,244.621,242.580,250.650,246.698,243.966,246.177,-2.0,-0.4,-0.5,0.8,-1.6,-1.1,0.9,0.001,1.63,L-Jul. 2024,3.3,-0.001,2.23,L-Jul. 2024,-1.9
8,"Ham, excluding canned(6)",,288.813,275.317,268.563,266.504,272.930,269.530,265.581,269.606,273.263,281.416,280.801,279.041,281.058,280.072,277.701,282.221,272.490,275.681,268.582,274.044,270.922,268.788,277.944,273.472,270.383,272.552,-2.7,-0.2,-0.6,0.7,-1.6,-1.1,0.8,,1.33,L-Jul. 2024,3.4,,2.73,L-Jul. 2024,-2.6
7,Pork chops(4),0.043,248.324,242.457,240.258,241.303,233.080,240.746,240.083,243.287,250.870,251.027,253.214,250.059,246.108,248.324,242.457,240.258,241.303,233.080,240.746,240.083,243.287,250.870,251.027,253.214,250.059,246.108,-0.9,0.9,-1.2,-1.6,0.9,-1.2,-1.6,-0.001,1.32,S-Feb. 2024,-3.4,0.000,1.85,S-Feb. 2024,-2.2
7,"Other pork including roasts, steaks, and ribs(5)",0.083,163.091,160.978,159.032,158.425,156.691,161.179,160.134,163.172,162.037,161.484,165.065,167.706,166.611,160.327,159.862,159.936,161.424,159.336,164.174,160.445,162.812,159.901,160.143,163.523,166.742,163.788,2.2,2.2,1.6,-0.7,2.1,2.0,-1.8,-0.001,1.43,S-Jun. 2024,-1.8,0.002,1.90,S-Feb. 2024,-0.6
6,Other meats,0.237,290.419,290.514,290.491,289.651,288.901,289.812,288.647,289.778,287.135,288.586,288.834,289.114,287.640,288.953,288.974,288.386,289.217,288.774,288.391,286.612,290.472,288.821,289.638,292.401,291.070,286.189,-1.0,0.1,0.1,-0.5,1.0,-0.5,-1.7,-0.004,0.61,S-Sep. 2007,-1.7,-0.002,1.19,S-Oct. 2018,-1.7
7,Frankfurters(6),,305.047,307.747,307.515,310.183,299.121,308.936,303.753,296.360,296.953,305.243,306.671,304.853,307.039,300.055,301.311,301.643,307.234,295.542,303.563,300.178,302.473,302.079,315.402,315.320,307.823,302.013,0.7,0.5,-0.6,0.7,0.0,-2.4,-1.9,,1.68,L-Aug. 2024,0.0,,2.50,S-Aug. 2023,-2.6
7,Lunchmeats(4)(5)(6),,188.095,188.136,188.589,187.120,187.275,188.397,187.408,189.517,187.573,187.976,187.451,186.664,186.676,188.095,188.136,188.589,187.120,187.275,188.397,187.408,189.517,187.573,187.976,187.451,186.664,186.676,-0.8,-0.3,-0.4,0.0,-0.3,-0.4,0.0,,0.78,L-Jul. 2024,0.2,,1.24,S-Apr. 2024,-1.0
6,Poultry(4),0.310,308.281,305.387,304.193,305.187,301.281,305.746,304.054,305.357,305.323,305.836,308.907,308.669,308.363,308.281,305.387,304.193,305.187,301.281,305.746,304.054,305.357,305.323,305.836,308.907,308.669,308.363,0.0,1.0,-0.1,-0.1,1.0,-0.1,-0.1,0.000,0.63,–,–,0.000,0.96,S-Sep. 2023,-0.4
7,Chicken(4)(5),0.250,195.575,194.860,195.061,194.666,192.132,195.597,193.963,195.816,195.345,195.548,196.881,197.305,197.634,195.575,194.860,195.061,194.666,192.132,195.597,193.963,195.816,195.345,195.548,196.881,197.305,197.634,1.1,0.7,0.2,0.2,0.7,0.2,0.2,0.000,0.64,–,–,0.003,1.13,S-Aug. 2024,1.1
8,Fresh whole chicken(4)(6),,323.007,327.616,326.386,328.095,318.612,325.614,325.654,326.790,329.301,328.836,332.703,328.863,330.717,323.007,327.616,326.386,328.095,318.612,325.614,325.654,326.790,329.301,328.836,332.703,328.863,330.717,2.4,1.2,-1.2,0.6,1.2,-1.2,0.6,,1.05,L-Aug. 2024,1.2,,1.90,L-Jul. 2024,3.1
8,Fresh and frozen chicken parts(4)(6),,292.627,289.529,290.837,289.057,287.062,291.482,288.288,291.035,289.735,290.588,291.812,294.039,294.065,292.627,289.529,290.837,289.057,287.062,291.482,288.288,291.035,289.735,290.588,291.812,294.039,294.065,0.5,0.4,0.8,0.0,0.4,0.8,0.0,,0.66,S-Jun. 2024,-0.4,,1.39,S-Jun. 2024,0.3
7,Other uncooked poultry including turkey(5),0.060,211.895,205.275,200.494,205.629,203.180,203.511,204.781,201.224,203.149,204.037,208.823,206.161,203.682,208.397,208.310,206.320,206.820,204.361,205.372,206.307,199.816,201.188,203.036,206.465,201.810,200.320,-3.9,2.3,-1.3,-1.2,1.7,-2.3,-0.7,0.000,1.31,L-Aug. 2024,1.7,-0.003,2.36,S-Jan. 2019,-4.3
